Date,Forecast,Lower_Bound,Upper_Bound
2026-01-01,465.2059371136796,-320.79379946275077,1216.6126217682586
2026-01-02,430.85696205360733,-385.97478516918216,1197.875844073329
2026-01-03,454.78086129625007,-308.41598199286784,1259.5314555299176
2026-01-04,463.54680320216994,-323.508683988513,1332.8962914005833
2026-01-05,374.83651752975516,-444.61922703274814,1156.3606730830818
2026-01-06,431.9549687170264,-379.70150774476366,1233.954260973065
2026-01-07,383.18153009286675,-499.81280839202805,1160.5266518738874
2026-01-08,409.43764325784684,-406.3808827796074,1236.2297734458368
2026-01-09,383.04349826079874,-409.4225438585121,1179.6796333476732
2026-01-10,415.2224758149016,-429.80378161621337,1197.9916703955416
2026-01-11,432.41857240990925,-307.8132540377722,1177.268334380412
2026-01-12,352.1983052969941,-452.11402179176656,1148.777943804055
2026-01-13,417.76322638054904,-437.70284969016774,1192.191206144098
2026-01-14,377.3023332838561,-398.0913212382762,1201.8748502530525
2026-01-15,411.66035127846743,-414.6483501365472,1157.942383721111
2026-01-16,393.0944340400577,-404.43964031699005,1179.1666340328827
2026-01-17,432.77805878311216,-351.7262132702267,1234.5281090524288
2026-01-18,457.1173913044722,-396.74538618084114,1232.9825655557013
2026-01-19,383.6516905890001,-404.3290198985456,1154.6671011950818
2026-01-20,455.56396984347566,-357.8236240858453,1250.8423509046613
2026-01-21,421.0313017379883,-385.89942596211444,1177.4962314255863
2026-01-22,460.89084899232785,-312.25619241218817,1238.979056116429
2026-01-23,447.39427959613465,-376.79162560001134,1227.1810704698316
2026-01-24,491.7094532772399,-364.2946838121119,1354.052158601815
2026-01-25,520.2347614085242,-298.7806436702461,1310.6637748975224
2026-01-26,450.4977883442643,-311.75063640015213,1222.4536180358457
2026-01-27,525.6645973693342,-264.5252965206081,1336.1641962019623
2026-01-28,493.88910015403053,-230.26852470318596,1306.8544282820346
2026-01-29,535.9786440355325,-307.9796347293374,1365.8476591555013
2026-01-30,524.1485096220931,-311.3691337647726,1335.601192866657
